#mac address,      fullID in string no space no comma,      x,      y,      z
00:0b:57:ef:33:ec, e2c56db5dffb48d2b060d0f5a71096e011, 000.00, 000.00, 000.00
00:0b:57:ef:2d:93, e2c56db5dffb48d2b060d0f5a71096e012, 003.00, 000.00, 000.00
00:0b:57:ef:35:52, e2c56db5dffb48d2b060d0f5a71096e013, 006.00, 000.00, 000.00
00:0b:57:1a:c3:85, e2c56db5dffb48d2b060d0f5a71096e021, 000.00, 003.00, 000.00
00:0b:57:1a:c4:ec, e2c56db5dffb48d2b060d0f5a71096e022, 003.00, 003.00, 000.00
00:0b:57:1a:bf:44, e2c56db5dffb48d2b060d0f5a71096e023, 006.00, 003.00, 000.00
00:0b:57:0b:c5:0d, e2c56db5dffb48d2b060d0f5a71096e031, 000.00, 006.00, 000.00
00:0b:57:0b:c5:3e, e2c56db5dffb48d2b060d0f5a71096e032, 003.00, 006.00, 000.00
00:0b:57:0b:c5:d4, e2c56db5dffb48d2b060d0f5a71096e033, 006.00, 006.00, 000.00
00:0b:57:1a:bf:3d, e2c56db5dffb48d2b060d0f5a71096e024, 000.00, 009.00, 000.00
00:0b:57:1a:eb:bf, e2c56db5dffb48d2b060d0f5a71096e025, 003.00, 009.00, 000.00
00:0b:57:1a:f0:70, e2c56db5dffb48d2b060d0f5a71096e026, 006.00, 009.00, 000.00
90:fd:9f:0a:d8:5d, e2c56db5dffb48d2b060d0f5a71096e05252, 005.00, 001.00, 000.00
90:fd:9f:0a:d7:65, e2c56db5dffb48d2b060d0f5a71096e05353, 005.00, 002.00, 000.00
90:fd:9f:0a:d8:43, e2c56db5dffb48d2b060d0f5a71096e05454, 005.00, 003.00, 000.00
90:fd:9f:0a:d7:4c, e2c56db5dffb48d2b060d0f5a71096e05555, 005.00, 004.00, 000.00
90:fd:9f:0a:d7:59, e2c56db5dffb48d2b060d0f5a71096e05656, 005.00, 005.00, 000.00
